,artista,oyentes,reproducciones,bio_resumen,pais
177,Orquesta Mondragon,14721,99039,"La Orquesta Mondragón, es un grupo musical español creado en el año 1976 alrededor de la personalidad del presentador y cantante Javier Gurruchaga. Está considerada una de las formaciones musicales pioneras en la fusión de la música y el teatro en España. La banda se sustentaba en sus inicios sobre dos grandes pilares escénicos: el cantante, Javier, divertido y excéntrico y Popotxo Ayestaran, cómico que valiéndose únicamente de la mímica convertía cada canción en un pequeño gag humoristíco. <a href=""https://www.last.fm/music/+noredirect/Orquesta+Mondragon"">Read more on Last.fm</a>",
178,The Beatles,6293427,1046098607,"The Beatles was an English rock band formed in Liverpool, Lancashire in 1960. With the line-up comprising John Lennon, Paul McCartney,  George Harrison, and Ringo Starr, they are regarded as the most popular and influential band of all time. The group were integral to the development of 1960s counterculture and popular music's recognition as an art form. Rooted in skiffle, beat and 1950s rock and roll, their sound incorporated elements of classical <a href=""https://www.last.fm/music/The+Beatles"">Read more on Last.fm</a>",
179,Muse,6176420,552008807,"Muse is an English rock band from Teignmouth, Devon, formed in 1994. The band consists of Matt Bellamy (lead vocals, guitar, keyboards), Chris Wolstenholme (bass guitar, backing vocals), and Dominic Howard (drums, percussion).

Muse released their debut album, ""Showbiz,"" in 1999, which featured Bellamy's falsetto and a melancholic alternative rock style. Their second album, ""Origin of Symmetry"" (2001), incorporated wider instrumentation and classical influences and contributed to their reputation for energetic live performances. <a href=""https://www.last.fm/music/Muse"">Read more on Last.fm</a>",
180,Desert Sessions,399119,7989732,"The Desert Sessions are a musical improv series ""that cannot be defined."" Founded by Josh Homme in 1997. Artists such as PJ Harvey, Jeordie White, Dave Catching, Nick Oliveri, Mark Lanegan, Chris Goss, Alain Johannes, Dean Ween, Gene Trautmann, and many others have contributed as songwriters and musicians.

The Sessions began in August 1997 at a place called Rancho de la Luna in Joshua Tree, California, when Homme brought together musicians from the bands Monster Magnet, Goatsnake, earthlings?, Kyuss and Soundgarden. <a href=""https://www.last.fm/music/Desert+Sessions"">Read more on Last.fm</a>",
181,No Te Va Gustar,196084,6047745,"No Te Va Gustar, also known by its initials NTVG, is a rock band from Uruguay. The members are: Emiliano Brancciari (vocals and guitar), Guzmán Silveira (bass and backup vocals), Diego Bartaburu (drums), Gonzalo Castex (percussion), Martín Gíl (trumpet and backup vocals), Denis Ramos (trombone), Mauricio Ortiz (tenor saxophone), Marcel Curuchet (keyboards) and Pablo Coniberti (guitar).

No Te Va Gustar was formed in 1994, when most of its members were around the age of 16. <a href=""https://www.last.fm/music/No+Te+Va+Gustar"">Read more on Last.fm</a>",
182,Pink Floyd,5344169,583362534,"Pink Floyd was an English rock band formed in London in 1965. Gaining an early following as one of the first British psychedelic groups, they were distinguished by their extended compositions, sonic experimentation, philosophical lyrics and elaborate live shows. They became a leading band of the progressive rock genre, cited by some as the greatest progressive rock band of all time.

Pink Floyd were founded in 1965 by Syd Barrett (guitar, lead vocals) <a href=""https://www.last.fm/music/Pink+Floyd"">Read more on Last.fm</a>",United Kingdom
183,Audioslave,3181163,90585958,"Audioslave was an American hard rock supergroup that formed in Los Angeles, CA in 2001. It consisted of Soundgarden frontman and rhythm guitarist Chris Cornell and the former instrumentalists of Rage Against the Machine: Tom Morello (lead guitar), Tim Commerford (bass and backing vocals) and Brad Wilk (drums). 

Audioslave released three successful albums, received three Grammy nominations, sold more than eight million records worldwide, and became the first American rock band to perform an open-air concert in Cuba. <a href=""https://www.last.fm/music/Audioslave"">Read more on Last.fm</a>",United States
184,Peter Frampton,676739,6128675,"Peter Frampton (born 22 April 1950 in Beckenham, Kent) is a British musician, best known today for his multi-platinum selling solo work in the mid-70s when he was  an ""arena rocker"". He originally became famous, however, as a young member of psychedelic era band The Herd and became a teen idol in Britain. Steve Marriott reportedly wanted to bring the 18-year-old Frampton into the Small Faces lineup but ended up starting Humble Pie with Frampton instead. <a href=""https://www.last.fm/music/Peter+Frampton"">Read more on Last.fm</a>",United Kingdom
185,Elvis Presley,4308795,144666438,"Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer and actor. Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""the King"".

Presley was born in Tupelo, Mississippi, and relocated to Memphis, Tennessee, with his family when he was 13 years old. His music career began there in 1954, recording at Sun Records with producer Sam Phillips, who wanted to bring the sound of African American music to a wider audience. <a href=""https://www.last.fm/music/Elvis+Presley"">Read more on Last.fm</a>",United States
186,Los Animalitos,1140,3922,biografia no encontrada,
187,Alter Bridge,1135968,44757617,"Alter Bridge is an American rock band from Orlando, Florida. The band was formed in 2004 by vocalist and rhythm guitarist Myles Kennedy, lead guitarist Mark Tremonti, bassist Brian Marshall and drummer Scott Phillips. After their former band Creed became inactive in 2003, Tremonti and Phillips formed a new band with former bandmate Marshall and new member Kennedy; Alter Bridge was formally unveiled in January 2004, months before Creed's official breakup in June. <a href=""https://www.last.fm/music/Alter+Bridge"">Read more on Last.fm</a>",United States
188,Catupecu Machu,100229,1993443,"Catupecu Machu is an Argentine rock band. Its current band members are Fernando Ruíz Díaz in voices and guitar; Gabriel Ruíz Díaz in bass guitar, special effects, samplers, voices and production; Javier ""Il Grosso"" Herrlein in drums and accordion; and Macabre (Martín Gonzalez) in keyboards and samplers.

On March 31, 2006 Gabriel Ruíz Díaz crashed his car against a tree. He suffered severe head trauma and loss of brain matter. He is now stable, but his future as a member of the band is still unknown. <a href=""https://www.last.fm/music/Catupecu+Machu"">Read more on Last.fm</a>",
189,The Cult,893213,17032850,"The Cult is an English rock band formed in 1983 in Bradford, West Yorkshire. Before settling on their current name in January 1984, the band performed under the name Death Cult, which was an evolution of the name of lead singer Ian Astbury's previous band Southern Death Cult. They gained a dedicated following in the United Kingdom in the mid-1980s as a post-punk/gothic rock band, with singles such as ""She Sells Sanctuary"", before breaking into the <a href=""https://www.last.fm/music/The+Cult"">Read more on Last.fm</a>",
190,Shinedown,1725618,62639398,"Shinedown is a Hard Rock band from Jacksonville, Florida. Shinedown was formed in early 2002 by Brent Smith, Jasin Todd, Brad Stewart, and Barry Kerch. They have released seven albums on Atlantic Records: ""Leave a Whisper"" (2003),""Us and Them"" (2005), ""The Sound of Madness"" (2008), ""Amaryllis"" (2012), ""Threat to Survival"" (2015) , ""Attention Attention"" (2018) and 
""Planet Zero"" (2022). As of 2018, the band has had 23 Top 5 hits on Mainstream Rock radio, including 12 number one singles, and a Top 10 hit on the Hot 100 with ""Second Chance"". <a href=""https://www.last.fm/music/Shinedown"">Read more on Last.fm</a>",
191,Jet,2608205,38473237,"Jet found international popularity during the early 2000s, a period in which the band's mix of Exile on Main St. swagger and brash, AC/DC-styled stomp dovetailed nicely with America's garage rock revival. Hailing from Melbourne and comprising guitarist Cameron Muncey, drummer Chris Cester, bassist Mark Wilson, and frontman Nic Cester, the foursome formed just as the new millennium was beginning. They quickly self-released 2002's Dirty Sweet, a vinyl-only EP that proved to be quite popular in Australia. <a href=""https://www.last.fm/music/Jet"">Read more on Last.fm</a>",
192,Fleetwood Mac,4617403,265922639,"Fleetwood Mac is a British-American rock band, formed in London in 1967. Fleetwood Mac was founded by guitarist Peter Green, drummer Mick Fleetwood and guitarist Jeremy Spencer, before bassist John McVie joined the lineup for their self-titled debut album. Danny Kirwan joined as a third guitarist in 1968. Keyboardist Christine Perfect (later known as Christine McVie), who contributed as a session musician from the second album, married McVie and joined in 1970. <a href=""https://www.last.fm/music/Fleetwood+Mac"">Read more on Last.fm</a>",
193,ASIAN KUNG-FU GENERATION,665682,42405099,"ASIAN KUNG-FU GENERATION (アジアン・カンフー・ジェネレーション Ajian Kanfuu Jenereeshon) is a Japanese alternative/indie rock band formed in Yokohama in 1996.

Members:
Vocals & Guitar: 後藤正文 (Masafumi Gotoh)
Guitar & Vocals: 喜多建介 (Kensuke Kita)
Bass & Vocals: 山田貴洋 (Takahiro Yamada)
Drums: 伊地知潔 (Kiyoshi Ijichi)


History:

Starting out as a college band, Asian Kung-Fu Generation released a series of independent EPs featuring lyrics mostly sung in English. <a href=""https://www.last.fm/music/ASIAN+KUNG-FU+GENERATION"">Read more on Last.fm</a>",Japan
194,Bon Jovi,4084991,119745044,"Bon Jovi is an American rock band formed in 1983 in Sayreville, New Jersey. It consists of singer Jon Bon Jovi, keyboardist David Bryan, drummer Tico Torres, guitarist Phil X, and bassist Hugh McDonald. Original bassist Alec John Such quit the band in 1994, and longtime guitarist and co-songwriter Richie Sambora left in 2013. The band has been credited with ""[bridging] the gap between heavy metal and pop with style and ease"".

In 1984 and 1985, Bon <a href=""https://www.last.fm/music/Bon+Jovi"">Read more on Last.fm</a>",United States
195,Green Day,6354891,421039794,"Green Day is an American punk rock band formed in the East Bay of California in 1987 by lead vocalist and guitarist Billie Joe Armstrong together with bassist and backing vocalist Mike Dirnt. For most of the band's career, they have been a power trio with drummer Tré Cool, who replaced John Kiffmeyer in 1990 before the recording of the band's second studio album, Kerplunk (1991). Before taking its current name in 1989, Green Day was called Blood Rage, then Sweet Children. <a href=""https://www.last.fm/music/Green+Day"">Read more on Last.fm</a>",United States
196,Spandau Ballet,1281144,12778001,"Spandau Ballet are a popular British pop band most prominent during the 80s, at the beginning of which they were forerunners of the British new romantic movement. Its members are singer-songwriter Tony Hadley on vocals, brothers Gary Kemp and Martin Kemp on guitar and bass respectively, with Gary also supplying background vocals, Steve Norman on saxophone, and John Keeble on the drums. Gary Kemp also wrote or co-wrote most of the group's music and lyrics. <a href=""https://www.last.fm/music/Spandau+Ballet"">Read more on Last.fm</a>",United Kingdom
197,Simon & Garfunkel,3425240,108336400,"Paul Simon and Art Garfunkel was an American folk rock duo, songwriters, and singers known collectively as Simon & Garfunkel. They formed the group Tom and Jerry in 1957 in Queens, New York, and had their first taste of success with the minor hit ""Hey Schoolgirl"". As Simon and Garfunkel, the duo rose to fame in 1965 backed by the hit single ""The Sound of Silence"". Their music was featured in the landmark film The Graduate, propelling them further into the public consciousness. <a href=""https://www.last.fm/music/Simon+&+Garfunkel"">Read more on Last.fm</a>",United States
198,Manic Street Preachers,1348393,53241118,"Manic Street Preachers is an alternative rock band from Blackwood, Wales, formed in 1986. Often referred to as ""the Manics"", they are James Dean Bradfield (vocals, guitars), Nicky Wire (bass, occasional vocals) and Sean Moore (drums, backing vocals, occasional trumpet). The band were originally a quartet: lyricist and rhythm guitarist Richey Edwards mysteriously vanished on 1 February 1995. He was declared presumed deceased in November 2008.

The Manics released their debut album Generation Terrorists in 1992. <a href=""https://www.last.fm/music/Manic+Street+Preachers"">Read more on Last.fm</a>",
199,David Bowie,5387128,385438363,"David Robert Jones (8 January 1947 – 10 January 2016), known professionally as David Bowie, was an English singer-songwriter and actor. A leading figure in the music industry, he is regarded as one of the most influential musicians of the 20th century. Bowie was acclaimed by critics and musicians, particularly for his innovative work during the 1970s. His career was marked by reinvention and visual presentation, and his music and stagecraft had a significant impact on popular music. <a href=""https://www.last.fm/music/David+Bowie"">Read more on Last.fm</a>",
200,Vicentico,213697,2918747,"Gabriel Julio Fernández Capello ""Vicentico"" (24 of July of 1964, Buenos Aires,  Argentina) , is a musician and composer. Co-founder and vocals of the ""Fabulosos Cadillacs"" with Flavio Cianciarullo. He stayed with this band from 1984 to 2001 until he left the band to become a Soloist.

On his first album, Vicentico displays rythms from his past with the 'Cadillacs', Bossa Nova to gypsy and ballads. With strong drums in all his tracks, his voice and identity are hard to mistake. With 12 tracks, 11 of which are by him. <a href=""https://www.last.fm/music/Vicentico"">Read more on Last.fm</a>",
201,Cypress Hill,2231341,52978227,"Cypress Hill is an American hip-hop group from South Gate, California. Cypress Hill was the first latino group to have platinum and multi-platinum albums and one of the first rap groups to gain a following with fans of hard rock and metal. The band was originally called DVX, but the name was changed after Mellow Man Ace left in 1988.

Their first album, which was self-titled, was released in August 1991. Its single was ""Phuncky Feel One"", but it was <a href=""https://www.last.fm/music/Cypress+Hill"">Read more on Last.fm</a>",United States
202,Intoxicados,121284,3514146,"Banda de Cristian 'el Pity' Alvarez, formada al finalizar Viejas Locas. Mas alla del Rock Stone caracteristico, tambien exploran en el hip-hop, reggae o con bases electronicas <a href=""https://www.last.fm/music/Intoxicados"">Read more on Last.fm</a>",
203,Eric Clapton,3343441,79804379,"Eric Patrick Clapton CBE (born 30 March 1945) is an English rock and blues guitarist, singer, and songwriter. He is regarded as one of the most successful and influential guitarists in rock music. He ranked second in Rolling Stone's list of the ""100 Greatest Guitarists of All Time"" and fourth in Gibson's ""Top 50 Guitarists of All Time"". In 2023, Rolling Stone named Clapton the 35th best guitarist of all time. He was also named number five in Time magazine's list of ""The 10 Best Electric Guitar Players"" in 2009. <a href=""https://www.last.fm/music/Eric+Clapton"">Read more on Last.fm</a>",
204,System of a Down,5622068,481959536,"System of a Down is an Armenian American metal band, formed in 1994 in Los Angeles, California, USA. All four members are of Armenian descent, and are widely known for their views expressed in many of their songs confronting the Armenian Genocide of 1915 by the Ottoman Empire and the ongoing War on Terror by the US government. The band consists of Serj Tankian (vocals), Daron Malakian (vocals, guitar), Shavo Odadjian (bass, vocals) and John Dolmayan (drums). <a href=""https://www.last.fm/music/System+of+a+Down"">Read more on Last.fm</a>",United States
205,Billy Joel,3859977,118388715,"Billy Joel (born William Martin Joel on May 9, 1949 in Bronx, New York, USA) is an American pianist, singer-songwriter, and composer. Since releasing his first hit song, ""Piano Man,"" in 1973, Joel has become a multi-million-selling recording artist. Joel recorded many popular hit songs and albums from 1971 until he stopped recording pop/rock music in 1993. He is one of the very few rock (or even pop) artists to have Top 10 hits in the '70s, '80s, and '90s. <a href=""https://www.last.fm/music/Billy+Joel"">Read more on Last.fm</a>",United States
206,Gary Moore,948112,17221499,"Gary Moore (born April 4, 1952 as Robert William Gary Moore in Belfast, Northern Ireland, United Kingdom; died February 6, 2011 in Malaga, Spain) is acknowledged as one of the finest guitarists to have originated in Ireland. He was a virtuoso guitarist and is considered by his fans to be one of the best guitar players ever.

In a career dating back to the 1960s he has played with bands including Thin Lizzy, Colosseum II, Greg Lake and Skid Row as well as having a successful solo career. <a href=""https://www.last.fm/music/Gary+Moore"">Read more on Last.fm</a>",
207,The Verve,3205261,57659097,"
The Verve (originally Verve) was an English alternative rock band. The band was formed in 1989 at Winstanley College, Wigan, Greater Manchester, England, by vocalist Richard Ashcroft, guitarist Nick McCabe, bassist Simon Jones and drummer Peter Salisbury. Simon Tong later became a member. The band originally split in 1995, but reunited in 1996 to great commercial success. They split once more in April 1999. The band reunited once more in June of 2007 <a href=""https://www.last.fm/music/The+Verve"">Read more on Last.fm</a>",
208,Calvin Russell,42087,466909,"Russell was born in Austin, Texas, on 1 November 1948. At age 12, Russell began learning guitar and at 13 joined a band called The Cavemen. In 1989, he met Patrick Mathe of the French record label, New Rose Records, while at a party in Austin and gave him a demo tape intended for noted Austin guitarist and producer, Charlie Sexton. 

He would go on to sign with the label releasing his first solo album in 1990 entitled A Crack In Time. In promotion of the album <a href=""https://www.last.fm/music/Calvin+Russell"">Read more on Last.fm</a>",France
209,Attaque 77,148538,3826049,"Formed in 1987 as a group of friends that joined to play their favorite songs, most of them by The Ramones, their favorite band and the one that most influenced them, they went into stage with the same punk style, lyrics with proletarian contents (about exploited factory workers, etc.) and the jean jackets that were one of their signatures in their beginnings. Though is difficult to recognize them now, because they have changed in many aspects and grown with their music <a href=""https://www.last.fm/music/Attaque+77"">Read more on Last.fm</a>",
210,Las Pelotas,95601,1818048,"Las Pelotas is an Argentinian rock band that originated from the separation of an older and pioneer band called Sumo. It is an alternative rock band that currently holds one of the top spots in popularity throughout Argentina.
Formed in 1988 in Buenos Aires.

First line-up
Germán Daffunchio (guitar)
Alejandro Sokol (main vocals)
Alberto ""Superman"" Troglio (drums)
Willy Robles (bass)

Second line-up
Germán Daffunchio (guitar and backing vocals)
Alejandro ""Bocha"" Sokol (main vocals) <a href=""https://www.last.fm/music/Las+Pelotas"">Read more on Last.fm</a>",Argentina
211,Babasonicos,165009,8533658,"Babasónicos' name is based on a tribute to Hindu prophet Baba combined with the name of a popular cartoon from the '70s. Singer Adrián Rodríguez, keyboardist Uma-T, guitarist Mariano Roger Sónico, bassist Gabo, percussionist Diego Uma, and drummer Diego Castellano recorded Pasto in 1992. That album included their hit song called ""De-generación."" As the popularity of this Latin rock group was growing, chances to play along with major bands came soon. <a href=""https://www.last.fm/music/+noredirect/Babasonicos"">Read more on Last.fm</a>",
212,Daryl Hall & John Oates,2356622,49165995,"From their first hit in 1974 through their heyday in the '80s, Daryl Hall and John Oates' smooth, catchy take on Philly soul brought them commercial success — including six number one singles and six platinum albums. Hall & Oates' music was well-constructed and produced; at their best, their songs were filled with strong hooks and melodies that adhered to soul traditions without being a slave to them by incorporating elements of new wave and hard rock. <a href=""https://www.last.fm/music/+noredirect/Daryl+Hall+&+John+Oates"">Read more on Last.fm</a>",
213,Lamp,1003910,64501158,"There is more than one artist with the name Lamp.

1. Lamp  (ランプ)  are a Japanese band formed in 2000. There are three members:

Taiyo Someya (染谷大陽; born 13 November 1979) - guitar, synthesizer, vibraphone
Yusuke Nagai (永井祐介; born 22 July 1980) – vocals, guitar, bass, keyboard
Kaori Sakakibara  (榊原香保里; born 17 November 1979) – vocals, flute, accordion

Formation
Someya started playing guitar in middle school. In the folk club during high school <a href=""https://www.last.fm/music/Lamp"">Read more on Last.fm</a>",Japan
214,Donavon Frankenreiter,789918,10378427,"Donavon Frankenreiter (born December 10, 1972, Downey, California) is an American musician and surfer. A long-time friend of musician Jack Johnson, his debut self-titled album was released in 2004 on Johnson's Brushfire Records through Universal Music. It made the Australian ARIA Top-40 charts in April 2004. In live shows he has performed as the Donavon Frankenreiter Band.

Frankenreiter started playing in the group, Peanut Butter and Jam, at the age of 18. <a href=""https://www.last.fm/music/Donavon+Frankenreiter"">Read more on Last.fm</a>",Australia
215,Aterciopelados,292018,4278608,"One of the first contemporary successful rock bands in Colombia, Los Aterciopelados is among the Latin American countries' top groups. Formed in 1992 in Bogotá, Colombia, the band has fused its own sound by combining a rock-solid approach and electronics with a variety of Latin American musical traditions including mariachi, bolero, tropical and flamenco. 

Aterciopelados, whose name translates as ""The Velvety Ones,"" was formed by former members of Delia Y Los Aminoacidos -- Andrea Echeverri <a href=""https://www.last.fm/music/Aterciopelados"">Read more on Last.fm</a>",United States
216,Pearl Jam,4209544,243334473,"Pearl Jam is an American grunge/alternative rock band formed in Seattle, Washington, in 1990. The band's lineup consists of founding members Jeff Ament (bass guitar), Stone Gossard (rhythm guitar), Mike McCready (lead guitar), and Eddie Vedder (lead vocals, guitar), as well as Matt Cameron (drums), who joined in 1998. Keyboardist Boom Gaspar has also been a touring/session member with the band since 2002. Drummers Jack Irons, Dave Krusen, Matt Chamberlain, and Dave Abbruzzese are former members of the band. <a href=""https://www.last.fm/music/Pearl+Jam"">Read more on Last.fm</a>",United States
217,PJ Harvey,2111896,101042390,"Polly Jean ""PJ"" Harvey, born 9 October 1969, is an English singer-songwriter. She is known primarily as a vocalist and guitarist, and is skilled in playing multiple instruments.

Harvey started her music career in 1988 by joining the local band Automatic Dlamini as a vocalist, guitarist, and saxophonist. John Parish, the band's frontman, has remained a long-term collaborator with her. In 1991, she formed a trio called PJ Harvey, marking the beginning of her career under that name. <a href=""https://www.last.fm/music/PJ+Harvey"">Read more on Last.fm</a>",
218,HIM,1524164,91805517,"There are multiple artists with this name;

1) HIM (sometimes stylized as H.I.M.) were a Finnish gothic rock band from Helsinki, Finland. Formed in 1991 by vocalist Ville Valo and bassist Mikko ""Mige"" Paananen under the name His Infernal Majesty, the band broke up in 1993, before being reformed in 1995 by Valo and guitarist Mikko ""Linde"" Lindström. After being rejoined by Mige, as well as new additions keyboardist Antto Melasniemi and drummer Juhana ""Pätkä"" Rantala, the band, now called HIM, released their debut album Greatest Lovesongs Vol. <a href=""https://www.last.fm/music/HIM"">Read more on Last.fm</a>",
219,Jack Johnson,3595949,182661851,"Jack Hody Johnson (born May 18, 1975 in North Shore, Oahu, Hawaii) is a singer, professional surfer, composer, and filmmaker who has achieved critical and commercial success and a dedicated following since he first appeared on G. Love & Special Sauce's album Philadelphonic. The release of his 2001 debut album, Brushfire Fairytales, further cemented his popularity and he has since released four more successful albums including 2003's On and On, 2005's In Between Dreams, 2008's Sleep Through the Static and 2010's To The Sea. <a href=""https://www.last.fm/music/Jack+Johnson"">Read more on Last.fm</a>",
220,The Vines,1353154,22410409,"Vines, the solo project of New York-based multi-instrumentalist and composer Cassie Wieland, offers a window into her inner world through expansive swaths of sound. She pieces together a celestial mix of synths, percussion, strings, and vocoded voice, making music that is at once deeply personal and cinematic in scope. This diaristic approach first took shape with her 2023 EP Birthday Party, and is crystallized on her debut LP, I'll be here. With the sweeping and vulnerable I'll be here <a href=""https://www.last.fm/music/The+Vines"">Read more on Last.fm</a>",
221,Sigur Rós,2379762,150198843,"Sigur Rós is an Icelandic post-rock band. The name is derived from the name of lead vocalist Jónsi Birgisson's little sister, Sigurrós. They hail from the same creative and vibrant Icelandic music scene as múm and Amiina. They released their first-ever foray into film-making with their tour documentary, Heima in late 2007. 

Jón Þór Birgisson (Jónsi), Georg Hólm, and Ágúst Ævar Gunnarsson formed the group in Reykjavík, Iceland in August 1994. <a href=""https://www.last.fm/music/+noredirect/Sigur+R%C3%B3s"">Read more on Last.fm</a>",
222,La-33,30529,252625,"La 33 is a Salsa Group from Bogota, Colombia. The Name refers on a name of a street in Bogota, where the band is located. The Group members are:

Sergio Mejía, Santiago Mejía, Guillermo Celis, David Cantillo, Diego Sánchez, Cipriano Rojas, Juan David Fernández, Roland Nieto, Felipe Cárdenas, Vladimir Romero, Jóse Miguel Vega

The website of the band www.la-33.com <a href=""https://www.last.fm/music/La-33"">Read more on Last.fm</a>",
223,Citizen Cope,673824,11504564,"Citizen Cope is a pseudonym of Clarence Greenwood, keyboardist, guitarist, singer, DJ, and record producer. Citizen Cope now lives in Brooklyn, New York.

Born in Memphis, Tennessee, Greenwood started his musical career as a DJ for the hip hop act Basehead, a group that would have a significant impact on his style as a solo-musician. Citizen Cope blends many genres of music, such as folk, blues, hip hop, rock, and R & B.

Greenwood first released a demo tape under the name Cope Citizen in the late '90s. <a href=""https://www.last.fm/music/Citizen+Cope"">Read more on Last.fm</a>",
224,Madrugada,284113,9819182,"Madrugada
«Chimes at Midnight»

When Madrugada regrouped to celebrate the 20th Anniversary of their classic debut album «Industrial Silence» in 2019, they quickly realised that interest in the band had not waned in their absence. It had, in fact, increased, not least on the European continent.

What’s more, they realised that they loved being back together. Being in Madrugada had never been quite this much fun.

Says vocalist and guitarist Sivert Høyem: «It was if as the last piece of the puzzle had snapped into place. <a href=""https://www.last.fm/music/Madrugada"">Read more on Last.fm</a>",
225,Cheap Trick,1359184,16397362,"Cheap Trick is an American power pop/rock n roll band from Rockford, Illinois that's played for over four decades, and in 2016 was inducted into the Rock & Roll Hall of Fame. Having gained popularity in the late-70s centered within the Midwest and within Japan, the band members are Rick Nielsen (guitarist and main songwriter), Bun E. Carlos (born Brad Carlson) (drums), Robin Zander (vocals and guitars), and Tom Petersson (bass guitar). Though they <a href=""https://www.last.fm/music/Cheap+Trick"">Read more on Last.fm</a>",United States
226,Linkin Park,6669017,684106461,"Linkin Park is an American alternative rock band from Agoura Hills, California. The band's current lineup comprises of vocalist/rhythm guitarist/keyboardist Mike Shinoda, lead guitarist Brad Delson, bassist Dave Farrell, DJ/turntablist Joe Hahn, drummer Colin Brittain, and lead vocalist Emily Armstrong. Shinoda, Delson, Farrell and Hahn are founding members. Vocalists Mark Wakefield, Chester Bennington & drummer Rob Bourdon are former members of the band. <a href=""https://www.last.fm/music/Linkin+Park"">Read more on Last.fm</a>",United States
227,Avenged Sevenfold,2767399,212894781,"Avenged Sevenfold (often abbreviated to A7X) is a heavy metal/hard rock band which formed in 1999 in Huntington Beach, California, United States. The band consists of vocalist M. Shadows, lead guitarist Synyster Gates, rhythm guitarist Zacky Vengeance, bassist Johnny Christ, and former Bad Religion and Suicidal Tendencies drummer Brooks Wackerman (2016-present). Heartbreakingly, the band's best friend and original drummer James ""The Rev"" Sullivan passed away in 2009. <a href=""https://www.last.fm/music/Avenged+Sevenfold"">Read more on Last.fm</a>",
228,The White Stripes,4723419,194845348,"The White Stripes was an alternative rock band, formed in 1997 in Detroit, Michigan, United States. They disbanded in 2011. The group consisted of songwriter Jack White (vocals, piano/keyboards, guitar) and Meg White (drums, vocals).

After releasing several singles and three albums within the Detroit independent music underground, The White Stripes rose to prominence in 2002, as part of the garage rock revival scene. Their successful albums White <a href=""https://www.last.fm/music/The+White+Stripes"">Read more on Last.fm</a>",
229,Five for Fighting,1001944,12457597,"Five for Fighting is the stage name of U.S. singer-songwriter John Ondrasik. His latest work being 2013's 'Bookmarks', his breakout into international success came with his 2000 album 'America Town', which went platinum in the U.S. due to the widespread acclaim of his song ""Superman (It's Not Easy)"" in late 2001. His 2004 album 'The Battle For Everything' has also enjoyed considerable chart success in the U.S. Ondrasikhas released a DualDisc of his 2004 album as well <a href=""https://www.last.fm/music/Five+for+Fighting"">Read more on Last.fm</a>",
230,Gustavo Cerati,497364,37096254,"Gustavo Adrián Cerati Clarke, (Buenos Aires - Argentina: August 11th, 1959 --- September 4th, 2014: Buenos Aires - Argentina) better known as Gustavo Cerati was an Argentinean guitarist, producer, occasional bass player, dj, lyricist, and vocalist. During the 1980's and until the mid-1990's he was the visible leader of Soda Stereo, -arguably one of Latin America's most important rock bands. 

Cerati was in a coma for over four years, after suffering a stroke on May 15 <a href=""https://www.last.fm/music/Gustavo+Cerati"">Read more on Last.fm</a>",
231,Robbie Williams,2767784,69627507,"Robert Peter Williams (born 13 February 1974) is an English singer and songwriter. He found fame as a member of the pop group Take That from 1990 to 1995, and achieved commercial success after launching a solo career in 1996. His debut studio album, Life thru a Lens, was released in 1997, and included his signature song, ""Angels"". His second album, I've Been Expecting You, featured the songs ""Millennium"" and ""She's the One"", his first number one singles. <a href=""https://www.last.fm/music/Robbie+Williams"">Read more on Last.fm</a>",
232,Panchiko,1001231,66524330,"Panchiko are an English alternative rock band formed in Nottingham, England in 1997, originally consisting of lead vocalist and guitarist Owain Davies, guitarist and keyboardist Andrew ""Andy"" Wright, bassist Shaun Ferreday, and a drummer named John. Panchiko's members were childhood friends with cheap equipment, who founded the band in 1997 as teenagers. On 21 July 2016, a 4chan user reported that they had found a copy of D>E>A>T>H>M>E>T>A>L in an Oxfam charity store in Sherwood, Nottingham. <a href=""https://www.last.fm/music/Panchiko"">Read more on Last.fm</a>",
