artista,oyentes,reproducciones,bio_resumen
Mallacán,480,8891,"Mallacán is an Aragonese rock band that sings in Aragonese language. Formed in 1992, their first recording was a 1995 Demo-tape titled ""Entalto a reboluzión!"" (Up the revolution!) and since them they have released 3 albums: ""Luen d'o paradiso"" (Far from paradise) in 1999, ""Chera chera!"" (Bonfire bonfire! an expression used in Aragonese Pyrenees to stoke fire up) in 2002 and ""País zierzo"" (Refers to Aragón) in 2005

Mallacán's music is a fusion of Rock, Folk, Ska and Reggae <a href=""https://www.last.fm/music/+noredirect/Mallac%C3%A1n"">Read more on Last.fm</a>"
Shabba Ranks,222847,1223959,"Shabba Ranks (born Rexton Rawlston Fernando Gordon on 17 January 1966, in Sturgetown, St Ann's, Jamaica) is known as one of the most popular dancehall artists ever. Ranks gained his fame mainly by practicing dee jaying rather than singing tunes similarly to his contemporaries.

Starting out on the King Jammys Superpower sound system in Jamaica, Shabba quickly emerged on the Jamaican and international stages in the late 1980's with a number of fellow artists. <a href=""https://www.last.fm/music/Shabba+Ranks"">Read more on Last.fm</a>"
Banda Bassotti,47064,1063965,"Punk and Ska band from Italy. Their songs are generally rational in nature, focusing on socialism, internationalism and atheism issues. its music can to remind The Clash, Angelic Upstarts, Red London, Hard Skin, The Selecter or Madness.

Banda Bassotti was formed in 1988, by a group of politically active musicians who began to sympathize with the Nicaraguan, Salvadorean, Palestinian, and Basque people fights. This group of friends supports the Frente Sandinista de Liberacion Nacional with solidarity initiatives by creating some work brigades. <a href=""https://www.last.fm/music/Banda+Bassotti"">Read more on Last.fm</a>"
Tanya Stephens,162152,1474390,"Tanya Stephens (July 2, 1973) born Kingston, Jamaica, is a one of the most influential female Jamaican reggae artists that emerged in the late 1990s. Stephens is most known for her hit ""Yuh Nuh Ready fi Dis Yet."" The single was later featured on the Reggae Gold 1997 compilation album. <a href=""https://www.last.fm/music/Tanya+Stephens"">Read more on Last.fm</a>"
Daniela Mercury,183181,3271406,"Daniela Mercuri de Almeida Verçosa (born July 28, 1965 in Salvador, Bahia, Brazil), best known as Daniela Mercury, is a Brazilian axé, samba-reggae and MPB singer, songwriter, dancer, actress, entrepeneur, producer, poet, philanthropist and activist for LGBTQ+ rights. For her pioneering of the axé genre, she is also known as the ""Queen of Axé.""

Since her breakthrough, Mercury has become one of the best known Brazilian female singers, selling over 20 million albums worldwide. <a href=""https://www.last.fm/music/Daniela+Mercury"">Read more on Last.fm</a>"
Junior Kelly,223580,1668963,"Junior Kelly (born Keith Morgan 23 September 1969 in Jamaica) is a reggae singer known for his strong commitment to the faith of the Rastafari movement and its Bobo Shanti mansion. This was a message of the hit song 'Rasta Should Be Deeper'. His 2001 song 'If Love So Nice' (...tell me why it hurts so bad) took a detour through Europe along its route to the top of the Jamaican charts, a position which it securely held for 15 weeks. Junior Kelly started to record in the mid 90s, and his first albums Rise and Juvenile was released in 2000. <a href=""https://www.last.fm/music/Junior+Kelly"">Read more on Last.fm</a>"
Dandy Livingstone,165624,930866,"Dandy Livingstone (Robert Livingstone Thompson, Kingston, Jamaica, 14 December 1943) is a Jamaican reggae musician and producer

He is best known for his 1972 hit, ""Suzanne Beware of the Devil"", and for his song, ""Rudy, A Message to You"", which was later a hit for The Specials. ""Suzanne Beware of the Devil"", reached number 14 on the UK Singles Chart.

At the age of 15, Livingstone moved to the United Kingdom. Livingstone's first record was released <a href=""https://www.last.fm/music/Dandy+Livingstone"">Read more on Last.fm</a>"
Los Cafres,201940,3976266,"Los Cafres is an Argentine reggae band, formed in late 1987. The group achieved popular recognition in the mid-1990s, with the release of their first album, Frecuencia Cafre. The term «cafre» comes from the Arabic adjective ""kafir"", which in the first instance means ""unfaithful"" and which later changed its meaning towards ""brutal to the highest degree""; meaning of the term with which the band chooses to identify itself. <a href=""https://www.last.fm/music/Los+Cafres"">Read more on Last.fm</a>"
Cañaman,5399,52285,"Cañaman is one of Spain's most recognised Reggae bands with twelve years of experience at its back. More info - http://www.canaman.com <a href=""https://www.last.fm/music/+noredirect/Ca%C3%B1aman"">Read more on Last.fm</a>"
The Gaylads,76404,530850,"The Gaylads were a popular rocksteady vocal trio active in Jamaica between 1963 and 1973. The group, formed in Kingston, originally consisted of singers Harris ""B.B."" Seaton, Winston Delano Stewart and Maurice Roberts; Seaton and Stewart had previously been successful as the duo Winston & Bibby. There would be several line-up changes throughout The Gaylads' ten year history, with Maurice Roberts remaining the only constant member. Besides recording several hit records <a href=""https://www.last.fm/music/The+Gaylads"">Read more on Last.fm</a>"
Kanka,54029,1034965,"Influenced by UK and Jamaican dub, Kanka's sound is steppa
WARRIOR STYLE!
His compositions are based on a strong bass & drums section. Though the reggae riddim often be heard, it sounds of today: tempos are particulary high for this kind of music, and the heavy bass line combines with a dynamic drum style and electro soundz. His first album ""Don't stop dub"" was released on Hammerbass Records in March 2005. Acclaimed by all the actors of the international dub scene and played by respected sound systems <a href=""https://www.last.fm/music/Kanka"">Read more on Last.fm</a>"
Macka B,96329,746695,"Macka B is a British-born reggae artist, performer and activist with a career spanning almost 30 years in the United Kingdom and Jamaica. He is also a practicing Rastafarian.

On leaving school, Macka B became a technical apprentice for Ever Ready GB Ltd, made redundant three years later due to the factory closure. In 1980 completed an engineering inspection course. Macka B has always been interested in music. At school, he played the violin, and also joined the school choir. <a href=""https://www.last.fm/music/Macka+B"">Read more on Last.fm</a>"
Joe Dukie & DJ Fitchie,19330,69863,"These two talents are the alter egos of Wellingtons DJ MU (DJ Fitchie) and vocalist Dallas Tamaira (Joe Dukie), both also members of Kiwi group Fat Freddys drop. <a href=""https://www.last.fm/music/Joe+Dukie+&+DJ+Fitchie"">Read more on Last.fm</a>"
Tapper Zukie,35118,248308,"One of Jamaica's most talented artists, Tapper Zukie has had an equal impact on both sides of the recording deck, as both a hitmaking toaster and as a producer who has worked with the cream of Jamaica's vocalists. In addition, his early ties to the punk community in both London and New York was instrumental in the crossover of roots reggae into the mainstream. Born David Sinclair, Tapper (also spelled Tappa) was a diminutive of a nickname his grandmother gave him, while Zukie was derived from the gang he ran with as a child, the Zukies. <a href=""https://www.last.fm/music/Tapper+Zukie"">Read more on Last.fm</a>"
Michael Palmer,21113,95633,"This lastfm page has tracks by two different artists, both with the name Michael Palmer

1, Michael Palmer a London based film & television composer/artist
2, Michael Palmer, a Jamaican dancehall / reggare artist of the 1980's ( see below)

A household name in the early and mid 80's dancehall / reggae era (also known as Palmer Dog in his early years). Palmer's rich, honey-coated voice covers a lot of ground, from crisp, digitized Dancehall riddims to the smooth, laid-back Lovers Rock. <a href=""https://www.last.fm/music/Michael+Palmer"">Read more on Last.fm</a>"
Brother Culture,39928,350895,"Started MCing in 1982 for Jah Revelation Muzik sound system, toured in USA, Jamaica and Canada through out the 80s. In 1991 started to MC at London's Dub Club. Over the years has visited over 25 counties on the MC tip, at the moment is busy recording and can be found on Dubhead, M Records, Roots Garden, System Error, Flex, Dragonfly and LSD Records. He has made big ground working with Manasseh over the past five years.

At the moment he is touring with Zion Train, Adrian Sherwood and J*Star.  <a href=""https://www.last.fm/music/Brother+Culture"">Read more on Last.fm</a>"
Adriana Lua,2032,8260,biografia no encontrada
Freddie McKay,29068,142440,"Freddie McKay (sometimes Freddy McKay) (1947 – 19 November 1986) was a Jamaican rocksteady and reggae singer.

McKay, born in Saint Catherine Parish, Jamaica, is regarded as one of the most soulful singers to come out of Jamaica. McKay first recorded for producer Prince Buster in 1967, his first hit coming the same year with ""Love Is A Treasure"", recorded for Duke Reid's Treasure Isle set-up. McKay then enjoyed a fruitful spell with Coxsone Dodd <a href=""https://www.last.fm/music/Freddie+McKay"">Read more on Last.fm</a>"
Ken Boothe,252350,1910091,"Ken Boothe's (born 1948 in Kingston, Jamaica) is known as ""Mr Rocksteady"" for his prominence during the musical period 1966-1974 and was a major idol for the to-be members of UB40. Boothe  started by recording a version of Sandie Shaw's ""Puppet on a String"" in 1967. Later the same year, Boothe and Alton Ellis had a successful U.K. tour with the group The Soul Vendors.  Under new direction from record producer Lloyd Chalmers, the song ""Everything I Own"" surprisingly was Number One in the UK in 1974. <a href=""https://www.last.fm/music/Ken+Boothe"">Read more on Last.fm</a>"
Dennis Brown,503375,4540920,"Dennis Emanuel Brown (February 1, 1957–July 1, 1999) was a Jamaican reggae singer. He recorded more than 75 albums and was one of the pioneers of lovers rock. Bob Marley dubbed him the ""Crown Prince of Reggae"".

Brown's first recording was ""Lips of Wine"" recorded for Derrick Harriott (The Musical Chariot), but this was not released initially. He then recorded for Coxsone Dodd at Studio One, and Dodd released Brown's first single, ""No Man is an Island"". <a href=""https://www.last.fm/music/Dennis+Brown"">Read more on Last.fm</a>"
Banda Beijo,46728,259155,"Banda Beijo foi uma banda brasileira de axé music. Teve sua origem no Bloco Beijo e foi formada em 1988, tendo em seu auge como vocalista o cantor Netinho, que também fazia parte do bloco, e logo após sua saída da banda, a cantora Gilmelândia.

Apesar de ser uma banda de Axé Music, não restringe seu repertório a tal estilo. Incluindo desde Tim Maia até The Police, saiu de seu reduto original, o carnaval baiano, e teve seu sucesso expandido por todo o Brasil. <a href=""https://www.last.fm/music/Banda+Beijo"">Read more on Last.fm</a>"
Dobby Dobson,22120,78480,"Legendary singer Dobby Dobson, born Highland Ralph Dobson, began singing in the early 1950s. Though his career started in his native home, Jamaica he is now renowned worldwide. He has appeared all over the Caribbean, South, Central and North Americas, Canada and The United Kingdom. This talented performer has become famous for his stirring performances that always leave the audience begging for more and make the ladies scream with delight. Dobby’s talents knows no boundaries <a href=""https://www.last.fm/music/Dobby+Dobson"">Read more on Last.fm</a>"
Gentleman,648401,16025466,"Gentleman (⋆ as Tilmann Otto 1975 in Osnabrück, Germany) is a reggae musican. Gentleman resides in Cologne, but sometimes names Jamaica as his home away from home. He became hooked on his brother’s reggae records and thus wanted to get to know Jamaica first-hand. He has been traveling to Jamaica regularly since he was 16, and the island has become a second home for him. Gentleman is also regarded as a popular reggae artist in Jamaica as well, which he regards as an honor, being a European. <a href=""https://www.last.fm/music/Gentleman"">Read more on Last.fm</a>"
Busta Rhymes,2104489,26432745,"Trevor George Smith Jr. (born May 20, 1972 in Brooklyn, New York), better known by his stage name Busta Rhymes, is an American rapper and actor signed to Universal Motown. He began his rap career in the group Leaders of the New School, and had his breakout moment when they featured on A Tribe Called Quest's hit, Scenario. Busta then released his debut album, The Coming, in 1996. He has since released 1997's When Disaster Strikes, 1998's E.L.E. (Extinction Level Event): The Final World Front <a href=""https://www.last.fm/music/Busta+Rhymes"">Read more on Last.fm</a>"
"Lee ""Scratch"" Perry",389503,4532402,"Lee ""Scratch"" Perry (born Rainford Hugh Perry, on 20th March 1936, in Kendal, Jamaica; died 29 August 2021, in Jamaica) was one of the most influential people in the development of reggae and dub music in Jamaica.

Perry began his career in the late 1950s working with Clement Coxsone Dodd's sound system. He eventually performed a variety of important tasks at Studio One as well as recording about thirty songs, but the pair eventually stopped working together due to personality and financial conflicts. <a href=""https://www.last.fm/music/Lee+%22Scratch%22+Perry"">Read more on Last.fm</a>"
Thievery Corporation,1859059,62782817,"Thievery Corporation is a Washington, D.C.-based recording artist and DJ duo consisting of Rob Garza and Eric Hilton and their supporting artists. Their music style mixes elements of dub, acid jazz, Indian classical and Brazilian (such as bossa nova) with a lounge aesthetic.

Thievery Corporation is on the Eighteenth Street Lounge record label named after the DC club owned by Eric Hilton, but several of their singles and EP's appear on the 4AD and !K7 labels. <a href=""https://www.last.fm/music/Thievery+Corporation"">Read more on Last.fm</a>"
Harry Belafonte,875452,6842314,"Harry Belafonte (born Harold George Bellanfanti Jr. in Harlem, NYC, on 1 March 1927; died 25 April 2023) was an American singer, activist, and actor. As arguably the most successful Caribbean-American pop star, he popularized Jamaican mento folk songs which was marketed as Trinbagonian Calypso musical style with an international audience in the 1950s. His breakthrough album Calypso, released in 1956, was the first million-selling LP by a single artist.  <a href=""https://www.last.fm/music/Harry+Belafonte"">Read more on Last.fm</a>"
Fly My Pretties,43147,528549,"Fly My Pretties is a collaboration of musicians from Wellington, New Zealand that only record their albums live in various locations in New Zealand. The different musical backgrounds of the members makes for an eclectic mix of songs on their releases. 

Founded in 2004, Fly My Pretties was the brainchild of Barnaby Weir (Vocals/Guitar), frontman of The Black Seeds who recruited fellow musicians Adi Dick (Guitar/Vocals), Age Pryor (Guitar/Vocals), Brendan Moran (Drums) <a href=""https://www.last.fm/music/Fly+My+Pretties"">Read more on Last.fm</a>"
Easy Star All-Stars,408630,7678407,"The Easy Star All-Stars are a collective family of some of the finest reggae musicians in the New York area. The band features a rotating cast drawn from a talented pool of players, meaning that every show has its own nuances and its own life. The masterminds behind the All-Stars are Easy Star musical director Michael Goldwasser (a.k.a. Michael G), frequent production partner Victor Axelrod (a.k.a. Ticklah), and Easy Star execs Eric Smith and Lem Oppenheimer. <a href=""https://www.last.fm/music/Easy+Star+All-Stars"">Read more on Last.fm</a>"
The Skatalites,370813,5272636,"The Skatalites are a Jamaican music group that played a major role in popularising ska, the first truly Jamaican music created by fusing boogie-woogie blues, rhythm and blues, jazz, mento, calypso, and African rhythms. They recorded many of their best known songs, including Guns of Navarone, in the period between 1964 and 1965, as well as played on records by Prince Buster and many other Jamaican artists.

The founding members of the group were Tommy McCook <a href=""https://www.last.fm/music/The+Skatalites"">Read more on Last.fm</a>"
Bushman,80225,559586,"There are two artists called Bushman:

1. Bushman is the alias of Swedish singer Franz Merwald.
He released in 1995 the successful hit titled “No 1 Else”, written by Cesar Zamini and Robert Ulhman.
In 1996 Franz released the hit “Jump Up” featuring Claudia Unda and Donna Rae . 

2. Bushman is also Dwight Duncan, who is a reggae artist.
He was born in the lush picturesque hill top village of Spring Garden, St. Thomas, Jamaica. He was raised as a Rasta since the tender age of two. <a href=""https://www.last.fm/music/Bushman"">Read more on Last.fm</a>"
Le Peuple de l'Herbe,148090,2396610,"A group from Lyon, France, formed in 1997. The band mixes hip hop with drum & bass, rock, dub, jungle, jazz and trip hop.
They are famous for their hypnotizing live acts. 

After 2 albums ""triple 000+"" and ""P.H. Test Two"" ( 100 000 copies together), Le Peuple de l'Herbe came back in early 2005 with their much awaited third album ""Cube"".  This is their first work featuring British rapper JC001 as full band member, after prior collaborations as MC and with his former band UK Apache. <a href=""https://www.last.fm/music/Le+Peuple+de+l%27Herbe"">Read more on Last.fm</a>"
Culture,339500,3022353,"There are at least two artists that have used this name:
1. A roots reggae band from Jamaica
2. A straight edge metalcore band from Florida, US

1. Culture was a Jamaican roots reggae group founded in 1976. Originally they were known as the African Disciples.

The members of the trio were Joseph Hill (lead vocals), Albert Walker (backing vocals) and Kenneth Dayes (backing vocals).

Shortly after Culture came together, they began working with the ""Mighty Two"" – producer Joe Gibbs and engineer Errol Thompson. <a href=""https://www.last.fm/music/Culture"">Read more on Last.fm</a>"
El Roockie,23171,206993,"Iván Bladimir Banista, better known as El Roockie or The Roockie (english) is a Panamanian reggae recording artist, currently signed to Luny Tunes' Mas Flow Inc. He is widely praised for his powerful and delivering lyrics, earning him the nickname King of Lyrics and Maquina de Lirica.

Banista came from the humble origins of Chorrillo y San Miguel, Panama. He begins in the world of reggae 1996 recording for the CD ""Reggae Overload"" although previously recorded for the CD ""Reggae Nonviolence"" a CD somewhat unknown if not ""witch. <a href=""https://www.last.fm/music/El+Roockie"">Read more on Last.fm</a>"
Joe Dukie,18751,86920,"Joe Dukie (b. Dallas Tamaira) is a vocalist and visual artist most notable for being the lead singer in the New Zealand Dub/Reggae group Fat Freddy's Drop, a group which he co-founded with DJ Fitchie.  His debut solo EP, Better Than Change, was produced by Mu (DJ Fitchie) under the name Dallas in 2001. 

Following that effort, the two collaborated on the groundbreaking EP Midnight Marauders where they donned the monikers Joe Dukie & DJ Fitchie. The <a href=""https://www.last.fm/music/Joe+Dukie"">Read more on Last.fm</a>"
Cordel Burrell,518,1327,biografia no encontrada
Damian Marley,1134352,16183178,"Damian Robert Nesta ""Jr. Gong"" Marley (born July 21, 1978 in Kingston, Jamaica) is a reggae artist who has won three Grammy awards. Damian Marley is the youngest son of reggae legend Bob Marley.

Damian was two years old when his father Bob died; he is the only child born to Marley and Cindy Breakspeare, Miss World 1976. Damian's nickname Junior Gong is derived from his father's nickname of Tuff Gong. Damian has been performing since the age of 13 and released his first album in 1996, at the age of 18. <a href=""https://www.last.fm/music/Damian+Marley"">Read more on Last.fm</a>"
Ardijah,7270,68834,"Ryan Monga (a.k.a Captain Fonk) grew up in the deep south of Auckland (The Big-O, Otara) New Zealand, with a melting pot of Pacific peoples, and was exposed to a rich blend of both traditional Cook Island/Tahitian music and the sounds of international funk bands.

Meanwhile, Betty-Anne's musical influences consisted of great Jazz/Blues singers Sarah Vaughan, Ella Fitzgerald and Australia's Renee Geyer.

Ardijahs' first album 'Take A Chance' was released <a href=""https://www.last.fm/music/Ardijah"">Read more on Last.fm</a>"
The Untouchables,72881,348445,"There is more than one artist with this name:

1) The Untouchables a reggae vocal duo from Jamaica, featuring Jimmy London (born Trevor Shaw) and Billy Dyce (born Ransford White). They also recorded as The Inspirations. Their song 'Tighten Up' (from either The Inspirations on the Upsetter label in Jamaica or The Untouchables on the Trojan release in London) gave the name to a series of albums on Trojan that were pivotal in promoting and crossing over Jamaican music in the UK.  <a href=""https://www.last.fm/music/The+Untouchables"">Read more on Last.fm</a>"
Los Pericos,238738,3624809,"In 1986 a group of friends who used to get together to play music, became LOS PERICOS, the first REGGAE Rock band in Argentina. 

Their first record, “LOS PERICOS” released in 1988 was the best selling album of the year, obtaining Triple Platinum Award for its 180 thousand units sold.

One year later, they recorded KING KONG, produced by Herbert Vianna (OS PARALAMAS DO SUCESSO). Immediately after, they launched Maxi ANFITREU, a vinyl disc that impacted because of its unique style. <a href=""https://www.last.fm/music/Los+Pericos"">Read more on Last.fm</a>"
Bob Marley & The Wailers,3346131,120414389,"Bob Marley and the Wailers (previously known as The Wailers, and prior to that The Wailing Rudeboys, The Wailing Wailers and The Teenagers) were a Jamaican ska, rocksteady and reggae band. The founding members, in 1963, were Bob Marley (Robert Nesta Marley), Peter Tosh (Hubert Winston McIntosh), and Bunny Wailer (Neville Livingston).

During 1970 and 1971, Wailer, Marley and Tosh worked with renowned reggae producers Leslie Kong and Lee ""Scratch"" Perry. <a href=""https://www.last.fm/music/Bob+Marley+&+The+Wailers"">Read more on Last.fm</a>"
Begoña Bang-Matu,1041,9931," Begoña Bang-Matu [/ artist] is known for her work in a lot of groups, especially with  Malarians [/ artist], but also with  Potato [/ artist],  Skalariak [ / artist],  Ramiccia [/ artist],  Arpioni [/ artist],  Fermin Muguruza [/ artist],  Las Damas [/ artist] or even the Jamaican Laurel Aitken [/ artist], but his solo career has always enjoyed splendid health with his more jazzy side and his admiration for those singers of the 40s such as  Sarah Vaughn [/ artist] or  Byllie Holliday [/ artist] . <a href=""https://www.last.fm/music/Bego%C3%B1a+Bang-Matu"">Read more on Last.fm</a>"
La Mosca,74783,453742,"Si bien la formación actual del grupo se consolida en marzo de 1995, la historia de la banda se remonta a comienzos de los noventa con ""La Reggae & Roll Band"", quienes hacían covers y algunos temas propios en la zona de Ramallo. Simultáneamente existían otras bandas entre las que se destacaba ""Damas gratis"" liderada por Guillermo Novellis.
Tras la disolución de ""Damas gratis"", Fernando Castro, que era el baterista y uno de los fundadores (de La Reggae)  <a href=""https://www.last.fm/music/+noredirect/La+Mosca"">Read more on Last.fm</a>"
Cypress Hill,2230695,52963499,"Cypress Hill is an American hip-hop group from South Gate, California. Cypress Hill was the first latino group to have platinum and multi-platinum albums and one of the first rap groups to gain a following with fans of hard rock and metal. The band was originally called DVX, but the name was changed after Mellow Man Ace left in 1988.

Their first album, which was self-titled, was released in August 1991. Its single was ""Phuncky Feel One"", but it was <a href=""https://www.last.fm/music/Cypress+Hill"">Read more on Last.fm</a>"
Tanto Metro & Devonte,61673,325944,"Tanto Metro and Devonte, a major pioneering force of the dancehall movement, have been creating hits for almost a decade now. In the late '90s, they were able to pave the way for many reggae artists. They tapped into the international mainstream markets during a time when it was unheard of for a Jamaican artist to reach the charts outside of their home country. Tanto and Devonte's instant chemistry and talent led them beyond Jamaica and into the U. <a href=""https://www.last.fm/music/Tanto+Metro+&+Devonte"">Read more on Last.fm</a>"
Chulito Camacho,8758,88197,"osué Luque Chulito Camacho es uno de los máximos exponentes del creciente movimiento dancehall reggae de nuestro país. A su prolífica labor como compositor y productor de ritmos se le suma su conocida originalidad como letrista y dj , que es el nombre que reciben los cantantes de este tipo reggae de la pista de baile que se emparenta con un estilo cercano al rap por la rapidez de sus ritmos y la temática urbana de sus líricas.

Todo lo que podemos <a href=""https://www.last.fm/music/Chulito+Camacho"">Read more on Last.fm</a>"
Nina Sky,381636,1879957,"Natalie and Nicole Albino (born in New York City) are identical twin sisters who sing under the name ""Nina Sky"". They are half-Puerto Rican and half-Dominican.

Their parents moved from Puerto Rico and were divorced when the girls were very young. The twins' mother remarried with a DJ, who also happened to be Puerto Rican. They grew up in the Queens and Roosevelt Island sections of New York.

Since their stepfather worked as a DJ, the twins were influenced by different types of music. <a href=""https://www.last.fm/music/Nina+Sky"">Read more on Last.fm</a>"
Vibronics,66862,754019,"It was the joint discovery of the Aba-Shanti-I Sound System and digitally sequenced music which first inspired Steve Vibronics to try his hand at building dub tunes. A minimal studio was put together at home during 1995 using the most basic of equipment - a dilapidated 16 track mixer, reverb and echo units, a couple of synths and a an Atari computer - all mixed down onto cassette tape. 

The Vibronics sound was introduced to UK dub pioneers Zion Train in 1996 <a href=""https://www.last.fm/music/Vibronics"">Read more on Last.fm</a>"
Hawkeye,22035,83046,"There are several bands with the name (Hawkeye), including a Jamaican Dancehall artist and a number of Rock and Folk artists.

1: Hawkeye (Jamaican Dancehall Artist)
""Arrest Mi Officer"" provided the launching pad that his career needed. That was back in the mid 1990's when he was with the Main Street label. But after the label's head honcho, Danny Browne switched from secular music to producing gospel, he teamed up with Byron Murray of In the Streets Records. <a href=""https://www.last.fm/music/Hawkeye"">Read more on Last.fm</a>"
Rita Marley,81470,363252,"Alpharita Constantia Marley Anderson, better known as Rita Marley (born July 25, 1946 in Santiago de Cuba) is a Jamaican singer. She is the widow of legendary Reggae musician Bob Marley, and a member of the trio the I Threes, Bob Marley's back up singers.

She grew up in Jamaica, and was singing with a trio named The Soulettes in the mid sixties recording for Studio One when she met Bob Marley. She married him in 1966, and then became a singer in his backing vocals group, the I Threes. <a href=""https://www.last.fm/music/Rita+Marley"">Read more on Last.fm</a>"
La Kinky Beat,68140,464890,"La Kinky Beat mixes reggae, drum'n'bass, rock, ska, punk, samba etc in its music. The band comes from Barcelona and uses not only Spanish but also Catalan, English and French in the lyrics'. Website: http://www.lakinkybeat.com <a href=""https://www.last.fm/music/La+Kinky+Beat"">Read more on Last.fm</a>"
The Suicide Machines,360142,7106856,"The Suicide Machines are an American ska punk band formed in Detroit, Michigan in 1991 under the name Jack Kevorkian and the Suicide Machines. The band's original lineup consisted of Jason Navarro on vocals, Dan Lukacinsky on guitar, Jason Brake on bass, and Stefan Rairigh on drums. This lineup lasted a year until Bill Jennings replaced Rairigh, but he was himself soon replaced by Derek Grant. They recorded the band's first demos The Essential Kevorkian and Green World in 1993 and 1994 <a href=""https://www.last.fm/music/The+Suicide+Machines"">Read more on Last.fm</a>"
Natiruts,491731,16296445,"Natiruts are a popular reggae band formed in Brasília, Brazil in 1996. Alexandre Carlo invited his soccer friends from Brasilia city in order to begin a new band in Brazil's capital. They are Luis Mauricio (bass) and Bruno Dourado (percussion). Later, the group 'enlisted' some new members: Izabella Rocha (backing vocals) and Kiko Peres (solo electric guitar). The first album (Nativus) was released in 1997.

On the following albums (Verbalize - 2001 and Quatro - 2002) Tonho Gebara participated (solo electric guitar). <a href=""https://www.last.fm/music/Natiruts"">Read more on Last.fm</a>"
Jimmy Cliff,928347,8382051,"Jimmy Cliff OM (Jamaican Order of Merit) born as James Chambers (1 April 1948, St. Catherine, Jamaica) is a Jamaican reggae musician. He is best known among mainstream audiences for songs like ""Sittin' in Limbo"", ""You Can Get It If You Really Want,"" ""Many Rivers to Cross"" and the title track from The Harder They Come, a film soundtrack which helped popularise reggae across the world.

Cliff moved to Kingston in 1962. After he released two singles that failed to make much of an impression <a href=""https://www.last.fm/music/Jimmy+Cliff"">Read more on Last.fm</a>"
Less Than Jake,858178,33797093,"Less Than Jake is a ska punk band formed in 1992 in Gainesville, USA. Their current line-up consists of Chris DeMakes (vocals, guitar), Roger Lima (vocals, bass), Matt Yonker (drums), Buddy Schaub (trombone) and Peter ""JR"" Wasilewski (saxophone).

The band's name derives from a dog Vinnie had while growing up, which was treated better than the rest of the family. It's also a reference to the phrase ""everything is jake,"" which is an old phrase meaning everything is cool. <a href=""https://www.last.fm/music/Less+Than+Jake"">Read more on Last.fm</a>"
Pepper,510287,8475855,"New self-titled Pepper album drops Fall 2013!! 

Facebook www.facebook.com/pepperlive; Twitter www.twitter.com/pepperlive; Instagram www.instagram.com/pepperlive

Kaleo Wassman – Vocals/Guitar
Bret Bollinger – Vocals/Bass
Yesod Williams – Drums

“It’s the hardest thing we’ve ever done as a band to make this record,” says guitarist/vocalist Kaleo Wassman of Pepper, in speaking on the recording process of their new self-titled album. “It <a href=""https://www.last.fm/music/Pepper"">Read more on Last.fm</a>"
Slightly Stoopid,836134,18584841,"While it’s a rare commodity for a band to tour as consistently as Slightly Stoopid, the group’s diligent commitment to live music provides some insight into their loyal fan base and unique creative metamorphosis throughout their extensive existence. Though it's been a couple of years since the release of their last studio album, Top Of The World (August 14, 2012), the Ocean Beach, California-based group—led by co-founders and multi-instrumentalists <a href=""https://www.last.fm/music/Slightly+Stoopid"">Read more on Last.fm</a>"
Jackie Mittoo,177638,1865432,"Jackie Mittoo (Donat Roy Mittoo, Browns Town, Saint Ann Parish, Jamaica, 3 March 1948 — Toronto, Ontario, Canada, 16 December 1990) was a Jamaican organ, piano and keyboard player, songwriter and musical director. 

Keyboard virtuoso Jackie Mittoo was among the true legends of reggae -- a founding member of the Skatalites and an extraordinarily prolific songwriter, he was perhaps most influential as a mentor to countless younger performers, primarily through his work as the musical director at the famed Studio One. <a href=""https://www.last.fm/music/Jackie+Mittoo"">Read more on Last.fm</a>"
